,id,LWR_route,RWR_route,TE_route,RB_route,Flex_route
42,2021090900-2298,middle_deep,middle_deep,middle_deep,left_shallow,middle_deep
43,2021090900-2330,middle_deep,left_shallow,middle_deep,middle_shallow,middle_deep
44,2021090900-2397,right_deep,left_deep,middle_deep,right_shallow,middle_deep
45,2021090900-2441,right_deep,middle_deep,middle_deep,other,middle_deep
46,2021090900-2530,middle_deep,middle_deep,left_shallow,right_shallow,middle_shallow
47,2021090900-2554,left_shallow,right_deep,middle_deep,other,middle_shallow
48,2021090900-2632,middle_deep,middle_deep,right_shallow,other,middle_shallow
49,2021090900-2656,middle_deep,middle_shallow,middle_shallow,middle_shallow,middle_deep
50,2021090900-2678,middle_deep,left_shallow,middle_deep,other,middle_deep
51,2021090900-2735,middle_shallow,right_shallow,middle_shallow,left_shallow,right_shallow
52,2021090900-2780,right_deep,middle_shallow,middle_shallow,right_shallow,right_deep
53,2021090900-2871,middle_shallow,middle_shallow,right_deep,right_shallow,left_deep
54,2021090900-2893,middle_shallow,middle_shallow,right_shallow,middle_shallow,middle_shallow
55,2021090900-2915,left_deep,middle_deep,middle_deep,left_shallow,right_shallow
56,2021090900-3014,middle_deep,middle_deep,middle_shallow,other,middle_shallow
57,2021090900-3062,right_shallow,right_deep,middle_deep,right_shallow,right_shallow
58,2021090900-3110,right_shallow,middle_shallow,middle_shallow,middle_shallow,middle_shallow
59,2021090900-3134,middle_shallow,middle_shallow,middle_shallow,left_shallow,middle_shallow
60,2021090900-3216,middle_deep,right_shallow,middle_shallow,middle_deep,middle_shallow
61,2021090900-3261,middle_deep,middle_shallow,right_shallow,middle_deep,middle_shallow
62,2021090900-3306,middle_shallow,middle_shallow,middle_shallow,left_shallow,middle_shallow
63,2021090900-3330,right_deep,right_shallow,right_shallow,left_shallow,left_shallow
64,2021090900-3364,middle_shallow,middle_shallow,right_deep,right_shallow,middle_shallow
65,2021090900-3406,middle_shallow,middle_shallow,middle_shallow,other,middle_shallow
66,2021090900-3462,middle_shallow,middle_shallow,middle_shallow,left_shallow,middle_shallow
67,2021090900-3588,middle_shallow,right_shallow,middle_shallow,left_shallow,middle_shallow
68,2021090900-3633,middle_deep,left_deep,middle_deep,middle_shallow,right_deep
69,2021090900-3655,left_deep,middle_deep,right_shallow,other,middle_deep
70,2021090900-3724,middle_shallow,left_shallow,middle_deep,middle_shallow,middle_shallow
71,2021090900-3793,left_deep,right_deep,right_shallow,left_shallow,middle_deep
72,2021090900-3862,middle_shallow,middle_deep,middle_deep,right_shallow,left_shallow
73,2021090900-3933,left_shallow,left_deep,middle_deep,left_shallow,left_shallow
74,2021090900-3962,right_shallow,left_shallow,other,middle_shallow,left_deep
75,2021090900-4094,right_shallow,middle_deep,left_shallow,right_shallow,middle_shallow
76,2021090900-4141,right_shallow,middle_shallow,left_shallow,right_shallow,middle_shallow
77,2021090900-4189,left_deep,middle_deep,middle_shallow,left_shallow,middle_deep
78,2021090900-4211,middle_shallow,middle_deep,middle_deep,right_shallow,middle_deep
79,2021090900-4246,middle_deep,middle_deep,middle_deep,left_shallow,middle_deep
80,2021090900-4287,middle_shallow,right_deep,middle_shallow,middle_shallow,left_deep
81,2021090900-4393,left_deep,right_shallow,middle_deep,middle_shallow,middle_shallow
82,2021090900-4428,middle_deep,middle_deep,middle_deep,right_shallow,right_shallow
83,2021090900-4538,left_shallow,right_deep,left_shallow,middle_shallow,middle_deep
84,2021090900-4560,middle_deep,middle_deep,middle_deep,left_shallow,right_deep
85,2021090900-4624,middle_deep,middle_deep,right_shallow,middle_shallow,left_deep
86,2021090900-4653,middle_deep,right_shallow,middle_deep,left_shallow,middle_deep
87,2021090900-4677,left_shallow,middle_deep,middle_shallow,middle_shallow,middle_deep
88,2021090900-4699,middle_deep,middle_shallow,middle_deep,middle_shallow,left_deep
89,2021090900-4750,middle_deep,right_shallow,middle_shallow,left_shallow,middle_deep
90,2021090900-4772,middle_deep,right_shallow,other,middle_shallow,middle_deep
91,2021091200-231,middle_deep,middle_shallow,middle_deep,middle_shallow,middle_shallow
92,2021091200-303,right_deep,left_shallow,left_shallow,other,left_shallow
93,2021091200-348,middle_shallow,right_deep,right_shallow,other,left_deep
94,2021091200-370,middle_shallow,middle_shallow,left_shallow,left_shallow,middle_shallow
95,2021091200-605,left_shallow,right_deep,middle_shallow,middle_shallow,middle_shallow
96,2021091200-705,right_shallow,middle_deep,middle_shallow,left_shallow,middle_shallow
97,2021091200-750,right_shallow,middle_deep,right_deep,other,right_shallow
98,2021091200-821,middle_shallow,right_shallow,middle_shallow,right_shallow,middle_deep
99,2021091200-843,middle_deep,right_deep,right_deep,left_shallow,middle_deep
100,2021091200-1023,middle_deep,middle_deep,right_shallow,left_shallow,middle_shallow
101,2021091200-1085,left_shallow,right_shallow,right_deep,left_shallow,middle_deep
102,2021091200-1153,middle_shallow,middle_deep,right_deep,middle_shallow,right_shallow
103,2021091200-1182,middle_deep,middle_shallow,middle_deep,right_shallow,right_deep
104,2021091200-1206,middle_shallow,middle_shallow,right_shallow,middle_shallow,left_shallow
105,2021091200-1249,right_shallow,right_deep,middle_shallow,right_shallow,right_shallow
106,2021091200-1326,left_deep,middle_deep,other,right_shallow,other
107,2021091200-1494,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
108,2021091200-1558,middle_shallow,middle_shallow,right_shallow,right_shallow,middle_deep
109,2021091200-1732,middle_deep,middle_deep,middle_deep,right_shallow,other
110,2021091200-1792,middle_shallow,right_deep,middle_shallow,other,middle_deep
111,2021091200-1991,left_shallow,middle_shallow,middle_deep,right_shallow,middle_deep
112,2021091200-2020,middle_shallow,middle_deep,middle_shallow,right_shallow,middle_deep
113,2021091200-2063,middle_deep,middle_deep,middle_deep,other,middle_deep
114,2021091200-2121,middle_deep,middle_deep,right_shallow,other,right_deep
115,2021091200-2145,middle_deep,right_deep,middle_deep,other,middle_deep
116,2021091200-2214,left_deep,right_deep,middle_deep,middle_shallow,middle_deep
117,2021091200-2275,left_deep,middle_shallow,middle_shallow,middle_shallow,middle_deep
118,2021091200-2321,right_shallow,left_deep,middle_deep,right_shallow,left_deep
119,2021091200-2399,middle_shallow,middle_deep,right_shallow,right_shallow,middle_deep
120,2021091200-2631,right_shallow,middle_deep,right_shallow,middle_shallow,middle_deep
121,2021091200-2675,middle_shallow,left_shallow,middle_shallow,right_shallow,middle_shallow
122,2021091200-2720,middle_deep,right_shallow,right_shallow,right_shallow,left_shallow
123,2021091200-2767,right_shallow,middle_shallow,left_shallow,other,left_deep
124,2021091200-2906,left_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
125,2021091200-2935,middle_shallow,middle_shallow,middle_deep,other,left_shallow
126,2021091200-2978,left_deep,middle_shallow,left_shallow,right_shallow,middle_shallow
127,2021091200-3045,middle_deep,middle_shallow,middle_deep,left_shallow,middle_shallow
128,2021091200-3110,middle_shallow,middle_shallow,middle_deep,left_shallow,middle_deep
129,2021091200-3480,middle_deep,middle_shallow,middle_deep,left_shallow,middle_deep
130,2021091200-3502,middle_shallow,middle_deep,left_shallow,middle_shallow,right_shallow
131,2021091200-3599,middle_deep,middle_deep,middle_shallow,other,middle_shallow
132,2021091200-3659,right_shallow,middle_deep,middle_shallow,left_shallow,middle_shallow
133,2021091200-3728,middle_shallow,left_shallow,middle_shallow,right_shallow,left_shallow
134,2021091200-3752,left_shallow,middle_deep,left_shallow,right_shallow,middle_shallow
135,2021091200-3776,middle_deep,middle_deep,other,right_shallow,other
136,2021091200-3798,middle_deep,middle_shallow,middle_shallow,right_shallow,left_shallow
137,2021091200-3820,middle_deep,middle_shallow,middle_deep,right_shallow,middle_shallow
138,2021091200-3928,right_shallow,middle_shallow,middle_shallow,left_shallow,middle_deep
139,2021091200-3988,middle_deep,middle_deep,right_shallow,left_shallow,right_shallow
140,2021091200-4017,left_shallow,middle_shallow,middle_deep,middle_shallow,middle_deep
141,2021091200-4041,middle_shallow,middle_deep,middle_shallow,left_shallow,middle_deep
142,2021091200-4112,middle_deep,middle_deep,right_shallow,middle_shallow,middle_deep
143,2021091200-4131,middle_shallow,middle_deep,middle_deep,right_shallow,middle_deep
144,2021091200-4240,middle_deep,middle_deep,other,left_shallow,other
145,2021091200-4274,middle_deep,middle_deep,left_shallow,left_shallow,right_shallow
146,2021091200-4298,middle_deep,middle_shallow,middle_deep,right_shallow,left_deep
147,2021091200-4317,middle_shallow,right_deep,right_shallow,middle_shallow,middle_shallow
148,2021091200-4346,middle_shallow,middle_deep,middle_shallow,left_shallow,middle_shallow
149,2021091200-4367,left_shallow,middle_shallow,right_deep,middle_shallow,left_deep
150,2021091201-262,middle_deep,middle_shallow,middle_deep,other,middle_shallow
151,2021091201-345,middle_shallow,middle_shallow,middle_deep,middle_shallow,middle_shallow
152,2021091201-406,middle_deep,middle_deep,middle_shallow,middle_shallow,middle_shallow
153,2021091201-430,middle_deep,middle_deep,middle_shallow,middle_shallow,middle_deep
154,2021091201-454,middle_shallow,middle_deep,left_shallow,middle_deep,right_shallow
155,2021091201-476,middle_deep,middle_deep,right_shallow,middle_shallow,right_deep
156,2021091201-500,middle_deep,right_shallow,right_deep,other,left_deep
157,2021091201-561,middle_deep,middle_deep,middle_deep,middle_shallow,right_deep
158,2021091201-589,middle_deep,middle_deep,right_shallow,middle_shallow,left_deep
159,2021091201-639,left_shallow,middle_shallow,left_shallow,right_shallow,right_shallow
160,2021091201-691,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_deep
161,2021091201-856,left_shallow,middle_shallow,other,middle_shallow,other
162,2021091201-901,right_shallow,left_shallow,left_shallow,middle_shallow,left_deep
163,2021091201-997,middle_shallow,right_shallow,middle_deep,left_shallow,middle_deep
164,2021091201-1058,middle_shallow,middle_shallow,middle_deep,middle_deep,middle_deep
165,2021091201-1087,middle_shallow,middle_shallow,middle_deep,other,middle_shallow
166,2021091201-1148,middle_deep,middle_shallow,middle_deep,other,middle_shallow
167,2021091201-1172,middle_deep,middle_deep,right_shallow,middle_shallow,middle_deep
168,2021091201-1234,right_shallow,middle_deep,other,other,right_shallow
169,2021091201-1300,right_shallow,right_shallow,middle_deep,middle_shallow,middle_deep
170,2021091201-1422,middle_deep,right_shallow,middle_deep,left_shallow,right_deep
171,2021091201-1446,middle_deep,left_shallow,other,middle_shallow,right_deep
172,2021091201-1486,middle_deep,middle_deep,middle_shallow,middle_shallow,middle_deep
173,2021091201-1548,left_shallow,middle_shallow,middle_deep,middle_deep,middle_deep
174,2021091201-1572,middle_deep,middle_deep,left_shallow,right_shallow,middle_deep
175,2021091201-1605,middle_shallow,middle_deep,left_shallow,middle_shallow,middle_shallow
176,2021091201-1629,middle_shallow,right_shallow,middle_deep,middle_shallow,middle_deep
177,2021091201-1653,middle_shallow,left_deep,left_deep,middle_shallow,right_shallow
178,2021091201-1746,right_shallow,right_deep,left_deep,right_shallow,middle_deep
179,2021091201-2126,right_shallow,middle_deep,other,other,middle_deep
180,2021091201-2209,middle_deep,right_shallow,middle_deep,other,right_shallow
181,2021091201-2302,middle_shallow,right_deep,middle_shallow,right_shallow,middle_deep
182,2021091201-2590,middle_deep,middle_deep,left_shallow,middle_shallow,middle_shallow
183,2021091201-2634,middle_shallow,left_shallow,middle_shallow,right_shallow,middle_shallow
184,2021091201-2709,right_shallow,right_deep,right_shallow,other,left_shallow
185,2021091201-2731,middle_deep,middle_deep,middle_deep,middle_shallow,left_shallow
186,2021091201-2828,right_shallow,middle_shallow,middle_deep,left_shallow,left_shallow
187,2021091201-2850,right_shallow,middle_deep,middle_deep,left_shallow,middle_shallow
188,2021091201-3165,middle_deep,left_shallow,middle_shallow,middle_shallow,middle_deep
189,2021091201-3219,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
190,2021091201-3431,middle_shallow,middle_deep,middle_shallow,left_shallow,middle_deep
191,2021091201-3584,middle_shallow,middle_shallow,right_shallow,right_shallow,middle_shallow
192,2021091201-3655,middle_deep,middle_shallow,other,other,middle_deep
193,2021091201-3709,left_shallow,middle_shallow,other,other,middle_deep
194,2021091201-3756,middle_deep,middle_deep,middle_deep,middle_shallow,middle_shallow
195,2021091201-3799,left_shallow,left_shallow,left_shallow,middle_shallow,right_shallow
196,2021091201-3878,left_deep,right_deep,middle_deep,middle_shallow,left_shallow
197,2021091201-4074,middle_deep,middle_deep,right_shallow,left_shallow,middle_deep
198,2021091201-4103,middle_deep,middle_deep,middle_deep,right_shallow,middle_deep
199,2021091202-88,middle_shallow,middle_shallow,middle_shallow,right_shallow,left_shallow
200,2021091202-210,right_shallow,middle_shallow,right_deep,right_shallow,middle_deep
201,2021091202-394,left_shallow,middle_shallow,middle_shallow,middle_shallow,right_deep
202,2021091202-467,middle_deep,middle_deep,middle_deep,middle_shallow,other
203,2021091202-489,right_shallow,right_shallow,other,middle_deep,left_shallow
204,2021091202-602,left_shallow,middle_shallow,right_shallow,left_shallow,right_shallow
205,2021091202-664,middle_deep,middle_deep,middle_shallow,other,middle_shallow
206,2021091202-688,middle_shallow,middle_shallow,left_shallow,other,middle_shallow
207,2021091202-815,middle_deep,left_shallow,other,left_shallow,middle_deep
208,2021091202-837,middle_deep,middle_deep,left_shallow,right_shallow,middle_deep
209,2021091202-935,middle_deep,middle_deep,other,right_shallow,other
210,2021091202-957,right_shallow,middle_deep,right_deep,middle_shallow,middle_shallow
211,2021091202-1021,middle_shallow,middle_deep,right_deep,right_shallow,middle_deep
212,2021091202-1074,left_deep,middle_deep,middle_deep,middle_shallow,middle_shallow
213,2021091202-1113,middle_deep,right_deep,middle_deep,middle_shallow,left_shallow
214,2021091202-1241,right_deep,middle_shallow,right_shallow,left_shallow,middle_shallow
215,2021091202-1297,right_shallow,middle_shallow,right_shallow,right_shallow,middle_deep
216,2021091202-1319,middle_deep,right_shallow,right_shallow,right_shallow,middle_deep
217,2021091202-1350,middle_deep,middle_deep,right_shallow,middle_shallow,right_deep
218,2021091202-1419,right_shallow,right_shallow,left_shallow,left_shallow,middle_deep
219,2021091202-1441,middle_shallow,left_shallow,left_shallow,middle_shallow,right_shallow
220,2021091202-1497,middle_deep,middle_deep,middle_deep,left_shallow,other
221,2021091202-1519,left_shallow,middle_shallow,right_shallow,left_shallow,middle_deep
222,2021091202-1543,middle_deep,right_shallow,middle_shallow,left_shallow,middle_deep
223,2021091202-1596,middle_deep,right_deep,middle_shallow,right_shallow,right_shallow
224,2021091202-1620,middle_shallow,middle_shallow,middle_shallow,other,other
225,2021091202-1696,middle_deep,middle_deep,middle_deep,other,other
226,2021091202-1752,middle_shallow,right_deep,right_shallow,left_shallow,right_shallow
227,2021091202-1774,left_shallow,right_shallow,middle_shallow,other,middle_shallow
228,2021091202-1798,left_shallow,middle_shallow,right_shallow,left_shallow,middle_deep
229,2021091202-1885,middle_shallow,middle_deep,middle_deep,middle_shallow,middle_deep
230,2021091202-1909,right_shallow,left_shallow,left_shallow,middle_shallow,left_shallow
231,2021091202-1943,middle_deep,middle_deep,left_shallow,right_shallow,middle_shallow
232,2021091202-1967,middle_shallow,middle_shallow,middle_shallow,left_shallow,middle_shallow
233,2021091202-1991,middle_deep,middle_deep,middle_deep,middle_shallow,middle_deep
234,2021091202-2153,middle_deep,middle_shallow,other,other,right_shallow
235,2021091202-2196,middle_shallow,left_shallow,middle_deep,middle_shallow,right_shallow
236,2021091202-2261,middle_deep,right_shallow,left_shallow,left_shallow,left_shallow
237,2021091202-2283,right_shallow,middle_shallow,middle_shallow,other,middle_deep
238,2021091202-2345,middle_deep,right_deep,middle_shallow,right_shallow,middle_shallow
239,2021091202-2367,middle_deep,middle_deep,right_shallow,left_shallow,left_shallow
240,2021091202-2428,right_shallow,middle_deep,right_shallow,left_shallow,left_shallow
241,2021091202-2457,left_deep,middle_deep,other,left_shallow,other
242,2021091202-2481,right_shallow,middle_deep,middle_deep,other,middle_deep
243,2021091202-2503,right_deep,right_deep,middle_deep,other,right_deep
244,2021091202-2543,middle_deep,middle_deep,other,left_shallow,other
245,2021091202-2586,middle_deep,middle_deep,middle_shallow,middle_shallow,left_deep
246,2021091202-2662,middle_deep,middle_deep,middle_shallow,left_shallow,right_shallow
247,2021091202-2684,middle_deep,right_deep,right_shallow,left_shallow,middle_deep
248,2021091202-2797,middle_deep,right_deep,other,left_shallow,other
249,2021091202-2821,middle_shallow,middle_shallow,middle_shallow,left_shallow,left_shallow
250,2021091202-2949,middle_deep,middle_deep,middle_shallow,left_shallow,middle_deep
251,2021091202-3075,middle_shallow,left_shallow,middle_deep,other,middle_deep
252,2021091202-3376,left_shallow,right_shallow,right_shallow,other,left_shallow
253,2021091202-3398,left_shallow,right_deep,left_deep,other,middle_deep
254,2021091202-3420,middle_deep,middle_deep,middle_shallow,other,right_shallow
255,2021091202-3490,middle_deep,middle_deep,middle_shallow,left_shallow,right_shallow
256,2021091202-3512,middle_deep,middle_shallow,right_shallow,left_shallow,right_shallow
257,2021091202-3536,left_shallow,left_shallow,left_shallow,right_shallow,middle_shallow
258,2021091202-3606,middle_shallow,middle_shallow,left_shallow,right_shallow,middle_shallow
259,2021091202-3635,middle_deep,middle_shallow,middle_deep,other,left_shallow
260,2021091202-3675,middle_deep,middle_deep,right_shallow,other,middle_deep
261,2021091202-3699,middle_shallow,middle_deep,middle_deep,other,left_shallow
262,2021091202-3723,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
263,2021091202-3745,right_deep,middle_deep,right_shallow,left_shallow,middle_deep
264,2021091202-3767,middle_deep,middle_deep,right_shallow,other,left_deep
265,2021091202-3791,middle_deep,middle_deep,middle_deep,middle_shallow,left_shallow
266,2021091202-3820,middle_shallow,middle_shallow,left_shallow,middle_deep,middle_deep
267,2021091202-3843,middle_deep,left_shallow,middle_deep,middle_deep,right_deep
268,2021091202-3889,middle_shallow,right_deep,middle_shallow,left_shallow,middle_shallow
269,2021091202-3914,left_shallow,middle_shallow,other,other,middle_shallow
270,2021091203-125,middle_shallow,left_deep,middle_shallow,right_shallow,middle_deep
271,2021091203-223,right_shallow,middle_deep,middle_shallow,left_shallow,right_shallow
272,2021091203-258,middle_shallow,middle_shallow,right_deep,right_shallow,middle_deep
273,2021091203-405,left_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
274,2021091203-601,middle_deep,middle_deep,right_shallow,other,left_deep
275,2021091203-672,middle_deep,left_shallow,right_shallow,left_shallow,right_shallow
276,2021091203-845,left_shallow,left_shallow,middle_shallow,right_shallow,middle_shallow
277,2021091203-924,middle_deep,middle_shallow,left_shallow,other,right_shallow
278,2021091203-1414,left_deep,middle_deep,middle_deep,middle_shallow,middle_shallow
279,2021091203-1485,right_shallow,middle_deep,middle_deep,right_shallow,middle_deep
280,2021091203-1521,right_deep,middle_deep,other,other,left_deep
281,2021091203-1561,middle_deep,middle_shallow,middle_shallow,other,left_shallow
282,2021091203-1591,middle_deep,middle_deep,middle_deep,other,middle_deep
283,2021091203-1667,middle_shallow,middle_shallow,middle_shallow,right_shallow,right_shallow
284,2021091203-1723,middle_shallow,left_shallow,middle_shallow,left_shallow,right_shallow
285,2021091203-1745,left_deep,middle_shallow,middle_shallow,left_shallow,middle_deep
286,2021091203-1780,left_deep,middle_deep,middle_deep,left_shallow,middle_deep
287,2021091203-1809,middle_deep,middle_deep,middle_shallow,left_shallow,middle_deep
288,2021091203-1885,middle_deep,middle_deep,middle_deep,right_shallow,middle_deep
289,2021091203-1909,middle_deep,right_shallow,left_shallow,right_shallow,right_deep
290,2021091203-1938,middle_shallow,left_shallow,middle_deep,middle_shallow,left_deep
291,2021091203-1967,middle_deep,middle_deep,middle_shallow,other,middle_deep
292,2021091203-2219,middle_deep,middle_deep,middle_deep,middle_shallow,right_deep
293,2021091203-2376,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
294,2021091203-2400,right_deep,middle_deep,middle_shallow,other,middle_deep
295,2021091203-2450,right_deep,middle_deep,left_shallow,left_shallow,right_shallow
296,2021091203-2472,left_shallow,right_deep,middle_shallow,left_shallow,middle_deep
297,2021091203-2538,middle_shallow,middle_deep,right_shallow,other,left_deep
298,2021091203-2685,middle_shallow,middle_shallow,middle_shallow,right_shallow,right_shallow
299,2021091203-2751,left_shallow,middle_shallow,left_shallow,right_shallow,right_deep
300,2021091203-2773,middle_shallow,middle_shallow,middle_shallow,other,left_shallow
301,2021091203-2822,middle_deep,middle_deep,other,middle_shallow,other
302,2021091203-2909,middle_deep,left_deep,other,other,left_shallow
303,2021091203-2952,middle_shallow,middle_deep,middle_deep,left_shallow,right_shallow
304,2021091203-2974,middle_deep,middle_deep,left_shallow,other,middle_shallow
305,2021091203-3239,middle_deep,middle_deep,other,other,other
306,2021091203-3261,middle_deep,middle_shallow,right_shallow,left_shallow,middle_shallow
307,2021091203-3366,left_deep,left_deep,other,middle_shallow,other
308,2021091203-3405,left_deep,right_deep,other,right_shallow,middle_deep
309,2021091203-3453,middle_deep,right_deep,middle_deep,middle_shallow,right_shallow
310,2021091203-3623,right_shallow,middle_deep,left_shallow,left_shallow,middle_shallow
311,2021091203-3645,right_shallow,left_shallow,other,other,right_shallow
312,2021091203-3682,middle_deep,middle_deep,other,right_shallow,middle_shallow
313,2021091203-3740,middle_shallow,middle_deep,middle_shallow,middle_shallow,middle_deep
314,2021091203-3764,middle_deep,middle_deep,middle_deep,other,right_deep
315,2021091203-3977,middle_shallow,right_deep,middle_deep,middle_shallow,middle_deep
316,2021091203-4001,left_deep,middle_deep,middle_deep,middle_shallow,middle_deep
317,2021091203-4025,middle_shallow,middle_shallow,middle_deep,middle_shallow,middle_deep
318,2021091203-4047,middle_shallow,middle_shallow,middle_shallow,right_shallow,middle_shallow
319,2021091203-4076,right_shallow,middle_deep,other,other,right_deep
320,2021091203-4100,middle_shallow,left_shallow,right_shallow,middle_shallow,right_shallow
321,2021091203-4124,middle_deep,middle_deep,left_shallow,middle_shallow,middle_deep
322,2021091203-4284,middle_deep,middle_shallow,other,middle_shallow,right_deep
323,2021091203-4329,middle_deep,middle_shallow,left_shallow,right_shallow,middle_shallow
324,2021091203-4393,left_deep,middle_deep,left_shallow,right_shallow,middle_deep
325,2021091203-4528,middle_deep,left_shallow,middle_deep,right_shallow,middle_deep
326,2021091203-4596,right_shallow,middle_deep,other,middle_shallow,right_deep
327,2021091203-4682,right_shallow,middle_deep,left_shallow,right_shallow,middle_shallow
328,2021091204-90,right_shallow,right_deep,right_shallow,left_shallow,other
329,2021091204-135,middle_deep,left_shallow,left_shallow,left_shallow,left_shallow
330,2021091204-157,middle_deep,middle_deep,left_deep,left_shallow,middle_shallow
331,2021091204-282,middle_deep,left_shallow,middle_deep,left_shallow,left_shallow
332,2021091204-328,left_deep,left_shallow,right_deep,right_shallow,middle_deep
333,2021091204-417,right_shallow,middle_deep,right_shallow,left_shallow,left_shallow
334,2021091204-487,left_shallow,left_shallow,middle_deep,middle_shallow,right_shallow
335,2021091204-516,middle_shallow,left_shallow,other,other,middle_deep
336,2021091204-596,left_shallow,middle_shallow,right_shallow,left_shallow,right_shallow
337,2021091204-660,middle_shallow,middle_deep,middle_deep,middle_shallow,right_shallow
338,2021091204-693,left_deep,right_deep,right_deep,middle_shallow,middle_shallow
339,2021091204-736,right_shallow,left_shallow,left_deep,other,middle_deep
340,2021091204-807,middle_shallow,middle_shallow,right_shallow,middle_shallow,left_shallow
341,2021091204-831,middle_shallow,middle_shallow,middle_shallow,middle_shallow,middle_shallow
342,2021091204-895,middle_deep,middle_shallow,left_deep,middle_shallow,middle_shallow
343,2021091204-919,right_shallow,left_shallow,left_shallow,right_shallow,middle_shallow
344,2021091204-1026,middle_deep,middle_deep,other,middle_shallow,left_shallow
345,2021091204-1054,left_shallow,middle_shallow,middle_shallow,right_shallow,middle_deep
346,2021091204-1163,left_shallow,middle_deep,middle_shallow,right_shallow,middle_deep
347,2021091204-1187,middle_shallow,middle_shallow,middle_deep,left_shallow,middle_deep
348,2021091204-1300,right_shallow,middle_deep,left_shallow,right_shallow,middle_deep
349,2021091204-1365,middle_deep,middle_deep,other,right_shallow,left_shallow
350,2021091204-1443,middle_deep,middle_deep,other,right_shallow,left_shallow
351,2021091204-1488,right_shallow,left_shallow,middle_deep,right_shallow,right_shallow
352,2021091204-1579,right_shallow,middle_deep,right_shallow,left_shallow,right_shallow
353,2021091204-1641,middle_deep,middle_deep,middle_shallow,left_shallow,other
354,2021091204-1670,middle_deep,middle_deep,middle_deep,middle_shallow,right_shallow
